Geography,Total - Population by visible minority,Total visible minority population,South Asian,Chinese,Black,Filipino,Latin American,Arab,Southeast Asian,West Asian,Korean,Japanese,"Visible minority, n.i.e. (not included elsewhere)",Multiple visible minorities,Aboriginal self-reporting,Not a visible minority
St. John's,163000,3930,1040,1020,825,145,125,145,240,115,55,45,50,110,2795,156270
Halifax,325050,26975,3200,3710,9915,1010,870,4355,785,1025,775,215,275,850,7505,290575
Moncton,113960,3400,350,235,1160,260,135,300,300,75,445,25,25,75,1580,108985
Saint John,104030,3290,375,545,890,140,200,445,115,65,365,50,0,95,1695,99040
Saguenay,131760,870,25,85,265,30,170,190,30,0,0,0,0,30,3355,127540
Québec City,634200,16965,740,1560,4390,80,4340,3130,1745,210,105,170,185,310,4945,612285
Sherbrooke,165085,6420,390,305,1760,40,1780,1055,500,365,45,40,25,115,1450,157220
Trois-Rivières,126330,2465,40,175,850,70,710,400,90,0,0,40,50,20,1395,122470
Montréal,3120060,582855,60270,59795,160700,24525,79300,109755,48035,17645,4605,2410,5660,10155,20415,2516780
Ottawa-Gatineau,1005005,177490,27245,29240,43185,8800,12025,28660,12085,6550,1800,1655,1900,4350,23635,803880
Kingston,129865,7355,1675,1650,785,610,730,420,255,340,385,165,140,190,3745,118770
Peterborough,98820,3040,655,355,545,120,210,130,400,95,260,85,80,105,3180,92600
Oshawa,285525,30500,7115,3030,9940,3000,1930,870,635,755,575,360,1175,1125,4625,250390
Toronto,4546140,2058780,639660,451450,299010,185950,97735,58255,73900,79080,52390,16585,54450,50320,27350,2460010
Hamilton,588195,77980,18535,9560,13185,6940,7265,6590,5455,3805,2235,1060,1240,2105,8425,501785
St. Catharines-Niagara,324895,20220,2540,3045,4210,2250,2990,1155,1215,530,765,575,410,540,6465,298210
Kitchener-Cambridge-Waterloo,383630,58355,15835,9500,7140,2045,6680,3690,5950,3030,1260,560,1275,1385,4965,320310
Brantford,108750,5625,1185,645,1345,395,400,370,640,60,220,95,110,165,7840,95285
Guelph ,114890,14950,3905,2635,1360,1520,1060,460,2345,700,220,130,140,470,1515,98425
London,388445,46470,6720,6095,6330,1840,7950,6815,3505,2370,2570,425,585,1260,6115,335855
Windsor,259040,40080,6985,5820,6915,3180,2110,8830,2700,1480,435,130,735,760,4960,214000
Barrie,149160,8825,1370,875,1970,755,1105,270,580,135,465,380,500,425,3090,137240
Greater Sudbury,132990,3330,545,675,660,155,270,315,270,80,125,25,55,150,10345,119315
Thunder Bay,101100,2845,515,590,325,355,155,80,240,50,0,250,120,155,8465,89790
Winnipeg,590290,108525,17960,12895,12895,42990,5470,1925,5695,1390,2135,1225,1280,2670,55450,426325
Regina,170070,16440,3580,3045,2235,2995,1025,405,2005,320,305,100,95,325,12885,140745
Saskatoon,209695,21540,4315,4500,1815,5235,1075,910,1465,820,280,190,330,605,16270,171885
Calgary,976575,258575,63560,62220,22825,38320,16570,11675,17250,6520,6985,4110,2335,6195,23815,694185
Edmonton,935285,197385,46435,43580,22530,31810,11775,10695,13015,5080,3835,2090,1690,4840,43590,694310
Kelowna,150325,8385,2515,1380,590,850,640,165,335,140,425,975,155,230,6015,135925
Abbotsford-Mission,134385,32010,24575,1595,860,725,780,205,900,215,1060,440,200,455,4830,97540
Vancouver,1926225,846195,198300,354280,16940,89725,24525,9095,36000,31725,40440,23445,3310,18415,39195,1040830
Victoria,290650,30360,6225,10680,1915,3310,1600,655,1610,740,995,1525,350,760,10530,249760
